int	int	int	string	int	int	int	int	int	int	int[]	int[]	string
角色id	剧本id	角色序号	角色名称	角色类型|n|(2101：主角|n|2102：男主角|n|2103：女主角|n|2104：配角|n|2105：男配角|n|2106：女配角|n|2107：反派）	角色类型图片（0：儿童，1：女，2：男）	角色性别要求|n|（0：无要求|n|1101：女|n|1102：男）	角色国籍要求|n|（0：无要求|n|1201：美国|n|1202：欧洲|n|1203：亚洲）	表演类型|n|（0：无要求|n|1401演技派|n|1402偶像派）	年龄类型|n|（0：无要求|n|1501青春型|n|1502成熟型）	角色擅长类型需求（property表1901-1949）	剧本属性需求（1601：场面  |n|1602：表演  |n|1603：剧情  |n|1604：艺术  |n|1605：娱乐 ）	角色介绍
id	story_id	character_num	zh_cn_name	type	type_pic	sex	country	show_type	age_type	tags	effect	zh_cn_introduction
1001	1001	1	陆伊萍	2103	1	1101	0	1402	0	1902;1904	1602;1603	陆伊萍（女主角）出生于富贵之家，从小被陆家赶出家门，生活清贫，在舞厅当歌女，为复仇决定利用何疏桓却发动了真情。
1002	1001	2	何疏桓	2102	2	1102	0	0	0	1905;1931;1947	1603;1604	何疏桓（男主角）报社记者，深情款款，才高志坚，与陆伊萍相恋，最后有情人终成眷属。
1003	1001	3	陆心萍	2104	2	0	0	0	1501	1904;1908;1935	1602;1604	陆心萍（配角）大学生，知书达理，长相甜美，温柔贴心，对爱情非常执着。
1004	1001	4	杜辉	2104	2	0	1203	0	0	1947;1928;1917	1601;1605	杜辉（配角）报社记者，头脑机灵，虽然知道陆心萍喜欢何疏桓也不曾放弃，最终成功俘获美人心
1005	1002	1	阿杰	2101	2	0	0	0	0	1907;1926;1934	1601;1605	阿杰（主角）当地农民，为人爽朗正直，勇猛异常，极富正义感，被选入黑衣人阻止。配备武器：灭害灵手枪。
1006	1002	2	老开	2101	2	0	0	0	0	1910;1921;1941	1602;1603	老开（主角）黑衣人组织中精干老练的特警，为人严肃，刚正不阿，曾多次挽救地球于危难之中。配备武器：敌敌畏大炮。
1007	1002	3	艾德根	2107	2	0	0	0	0	1911;1920;1943	1601;1605	艾德根（反派）邪恶的地心人，化身人形的虫科生物，处心积虑想夺走能量源“银河”掌控宇宙。
1008	1003	1	盖·朵	2103	1	1101	0	0	0	1904;1910;1926	1601;1602	盖·朵（女主角）从小练就非凡武艺，从家里偷出全套神装，来到外面的世界对抗邪恶……
1009	1003	2	史蒂夫	2101	2	0	0	0	0	1916;1922;1937	1603;1605	史蒂夫（主角）潜伏在敌人内部窃取机密的特工
1010	1003	3	战神	2107	2	0	0	0	1502	1943;1911;1923;1930	1601;1603	战神（反派）上古神祇在人间的化身，通过挑起战争获得力量
1011	1004	1	李诚功	2101	2	0	0	0	0	1905;1915	1602;1603	李诚功（主角）独立创业的小老板，有钱有闲，有妻儿有情人，在成功人生不知所措的时候，此次的归家之旅也得到了答案。
1012	1004	2	牛耿直	2101	2	0	0	0	0	1917;1942	1602;1601	牛耿直（主角）从小与父母走失的民工，耿直坚持，乐观积极，一直相信未来充满希望
1013	1004	3	梅莉	2104	2	0	1203	0	0	1928	1604;1602	梅莉（配角）李诚功在老家的妻子，温柔贤妻，孝敬父母，一直默默保卫这整个家庭
1014	1005	1	泉贤一	2102	2	1102	0	0	1501	1908;1926	1601;1603	泉贤一（男主角）平凡的高中生，单纯善良，母亲被杀害后性情大变，被寄生后拥有超越超人的能力。
1015	1005	2	小佑	2101	2	0	0	0	0	1913;1922	1603;1605	小佑（主角）寄生在贤一右手的寄生兽，拥有强大的力量，和贤一成为相互信任的伙伴，一起对抗其他寄生兽。
1016	1005	3	田宫凌子	2106	1	1101	1203	0	0	1913;1922	1602;1604	田宫凌子（女配角）在与人类的接触中慢慢被改变的寄生兽，拥有强大的能力，但不喜欢杀戮，一直想了解人类和寄生生物之间和平相处的方法。
1017	1005	4	春野里美	2104	2	0	0	0	0	1902;1908	1603;1604	春野里美（女配角）平凡的女高中生，勇敢善良，贤一的青梅竹马，对贤一有好感。
1018	1006	1	杰姆斯	2102	2	1102	0	1401	0	1904;1937	1601;1602	杰姆斯（男主角）出色的间谍，风度翩翩，举止文雅体面
1019	1006	2	马迪琳	2103	1	1101	0	0	1501	1939;1904;1922	1602;1604	马迪琳（女主角）漂亮聪明的医生，争强好胜掌握幽灵党的秘密信息。
1020	1006	3	露希亚	2104	2	0	0	0	0	1922;1921	1602;1603	露希亚（配角)冷若冰霜，深藏不露，暗中密谋，失去丈夫后担心自己遭受同样的而已。
1021	1006	4	布莱福	2107	2	0	0	0	0	1922;1930;1943	1601;1603	布莱福（反派）双重身份，幽灵党的真正反派头目。
1022	1007	1	麦克	2101	2	0	0	0	0	1908	1602;1603	麦克（男主角），三位进入森林的大学生之一。
1023	1007	2	伊瑟	2101	2	0	0	0	0	1908	1601;1602	伊瑟（女主角），三位进入森林的大学生之一。
